No,Kode,Nama perusahaan,Tanggal pencatatan,Jumlah Saham,Papan pencatatan,Sektor
200,BEI: CBRE,Cakra Buana Resources Energi T,9 Januari 2023,4.538.057.561,Pemantauan Khusus,Energy
201,BEI: CBUT,Citra Borneo Utama Tbk.,8 November 2022,3.125.000.000,Utama,Consumer Non-Cyclicals
202,BEI: CCSI,Communication Cable Systems In,18 Juni 2019,1.199.999.998,Pengembangan,Industrials
203,BEI: CEKA,Wilmar Cahaya Indonesia Tbk.,9 Juli 1996,595.000.000,Pengembangan,Consumer Non-Cyclicals
204,BEI: CENT,Centratama Telekomunikasi Indo,1 November 2001,31.183.464.900,Pemantauan Khusus,Infrastructure
205,BEI: CFIN,Clipan Finance Indonesia Tbk.,27 Agustus 1990,3.984.520.457,Utama,Financials
206,BEI: CGAS,Citra Nusantara Gemilang Tbk.,8 Januari 2024,1.771.485.574,Pengembangan,Energy
207,BEI: CHEM,Chemstar Indonesia Tbk.,8 Juli 2022,1.700.014.594,Pengembangan,Basic Materials
208,BEI: CHIP,Pelita Teknologi Global Tbk.,8 Februari 2023,806.000.000,Akselerasi,Technology
209,BEI: CINT,Chitose Internasional Tbk.,27 Juni 2014,1.000.000.000,Pengembangan,Consumer Cyclicals
210,BEI: CITA,Cita Mineral Investindo Tbk.,20 Maret 2002,3.960.361.250,Pengembangan,Basic Materials
211,BEI: CITY,Natura City Developments Tbk.,28 September 2018,5.405.188.966,Pengembangan,Properties & Real Estate
212,BEI: CLAY,Citra Putra Realty Tbk.,18 Januari 2019,2.570.000.000,Pemantauan Khusus,Consumer Cyclicals
213,BEI: CLEO,Sariguna Primatirta Tbk.,5 Mei 2017,12.000.000.000,Utama,Consumer Non-Cyclicals
214,BEI: CLPI,Colorpak Indonesia Tbk.,30 November 2001,306.338.500,Pengembangan,Basic Materials
215,BEI: CMNP,Citra Marga Nusaphala Persada,10 Januari 1995,5.437.498.079,Utama,Infrastructure
216,BEI: CMNT,Cemindo Gemilang Tbk.,8 September 2021,17.125.504.000,Utama,Basic Materials
217,BEI: CMPP,AirAsia Indonesia Tbk.,8 Desember 1994,10.685.124.441,Pemantauan Khusus,Transportation & Logistics
218,BEI: CMRY,Cisarua Mountain Dairy Tbk.,6 Desember 2021,7.934.683.000,Utama,Consumer Non-Cyclicals
219,BEI: CNKO,Exploitasi Energi Indonesia Tb,20 November 2001,8.956.361.206,Pemantauan Khusus,Energy
220,BEI: CNMA,Nusantara Sejahtera Raya Tbk.,2 Agustus 2023,83.345.000.000,Utama,Consumer Cyclicals
221,BEI: CNTX,Century Textile Industry Tbk.,22 Mei 1979,70.000.000,Pemantauan Khusus,Consumer Cyclicals
222,BEI: COAL,Black Diamond Resources Tbk.,7 September 2022,6.250.000.000,Pemantauan Khusus,Energy
223,BEI: COCO,Wahana Interfood Nusantara Tbk,20 Maret 2019,889.863.981,Pengembangan,Consumer Non-Cyclicals
224,BEI: COWL,Cowell Development Tbk.,19 Desember 2007,4.871.214.021,Pemantauan Khusus,Properties & Real Estate
225,BEI: CPIN,Charoen Pokphand Indonesia Tbk,18 Maret 1991,16.398.000.000,Utama,Consumer Non-Cyclicals
226,BEI: CPRI,Capri Nusa Satu Properti Tbk.,11 April 2019,2.433.379.958,Pemantauan Khusus,Properties & Real Estate
227,BEI: CPRO,Central Proteina Prima Tbk.,28 November 2006,59.572.382.787,Pengembangan,Consumer Non-Cyclicals
228,BEI: CRAB,Toba Surimi Industries Tbk.,10 Agustus 2022,1.950.000.000,Pengembangan,Consumer Non-Cyclicals
229,BEI: CRSN,Carsurin Tbk.,10 Juli 2023,2.892.000.000,Pengembangan,Industrials
230,BEI: CSAP,Catur Sentosa Adiprana Tbk.,12 Desember 2007,5.683.175.151,Pengembangan,Consumer Cyclicals
231,BEI: CSIS,Cahayasakti Investindo Sukses,10 Mei 2017,1.307.000.000,Pemantauan Khusus,Properties & Real Estate
232,BEI: CSMI,Cia Selera Murni Tbk.,9 April 2020,816.061.500,Pemantauan Khusus,Consumer Cyclicals
233,BEI: CSRA,Cisadane Sawit Raya Tbk.,9 Januari 2020,2.050.000.000,Pengembangan,Consumer Non-Cyclicals
234,BEI: CTBN,Citra Tubindo Tbk.,28 November 1989,800.371.500,Pemantauan Khusus,Basic Materials
235,BEI: CTRA,Ciputra Development Tbk.,28 Maret 1994,18.535.695.255,Utama,Properties & Real Estate
236,BEI: CTTH,Citatah Tbk.,3 Juli 1996,1.230.839.821,Pemantauan Khusus,Industrials
237,BEI: CUAN,Petrindo Jaya Kreasi Tbk.,8 Maret 2023,11.241.890.000,Utama,Energy
